Candidate,Year,Party,Popular vote,Notes
Chuck Baldwin,2008,Constitution,"199,750",
Aaron S. Watkins,1920,Prohibition,"188,787",
Norman Thomas,1936,Socialist,"187,910",
Howard Phillips,1996,Taxpayers,"184,656",
Roger MacBride,1976,Libertarian,"172,557",
Lester Maddox,1976,American Independent,"170,274",
Cynthia McKinney,2008,Green,"161,797",
Thomas J. Anderson,1976,American,"158,271",
John P. Hale,1852,Free Soil,"155,210",
Andrew Jackson,1824,Democratic-Republican,"151,271","Won the popular vote, but lost the election.[1]"
John St. John,1884,Prohibition,"147,482",
Alson Streeter,1888,Union Labor,"146,602",
Hugh Lawson White,1836,Whig,"146,109",
Michael Peroutka,2004,Constitution,"143,630",
Vincent Hallinan,1952,Progressive,"140,746",
James Madison,1812,Democratic-Republican,"140,431",Winner; a limited number of states counted the popular vote
Norman Thomas,1948,Socialist,"139,569",
John M. Palmer,1896,National Democratic,"134,645",
Benjamin Butler,1884,Anti-Monopoly,"134,294",
DeWitt Clinton,1812,Democratic-Republican,"132,781",A limited number of states counted the popular vote
Joshua Levering,1896,Prohibition,"131,312",
James Madison,1808,Democratic-Republican,"124,732",Winner; a limited number of states counted the popular vote
David Cobb,2004,Green,"119,859",
Norman Thomas,1940,Socialist,"116,599",
Thomas E. Watson,1904,Populist,"114,070",
John Hagelin,1996,Natural Law,"113,670",
John Quincy Adams,1824,Democratic-Republican,"113,142","Lost the popular vote, but won the election.[1]"
T. Coleman Andrews,1956,States' Rights,"107,929",
Bo Gritz,1992,Populist,"106,152",
Thomas Jefferson,1804,Democratic-Republican,"104,110",Winner; a limited number of states counted the popular vote
Claude A. Watson,1948,Prohibition,"103,708",
William Z. Foster,1932,Communist,"103,307",
William Wirt,1832,Anti-Masonic,"100,715",
